Scenario,Algorithm,Runtime (s),Distance,Visited Nodes,Start,Goal,Seed
empty,astar,0.006937265396118164,14.949382989376328,139,"(9, 12, 6)","(17, 1, 8)",5
empty,astar,0.006971120834350586,14.949382989376328,139,"(9, 12, 6)","(17, 1, 8)",5
empty,astar,0.006948947906494141,14.949382989376328,139,"(9, 12, 6)","(17, 1, 8)",5
empty,astar,0.007051229476928711,14.949382989376328,139,"(9, 12, 6)","(17, 1, 8)",5
empty,astar,0.0034694671630859375,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.003402233123779297,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0035867691040039062,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0036237239837646484,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0035719871520996094,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0035953521728515625,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.003576993942260742,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.003629922866821289,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0035805702209472656,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.0036139488220214844,13.21733218180745,78,"(19, 2, 8)","(9, 1, 1)",6
empty,astar,0.002193450927734375,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0024666786193847656,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.002181529998779297,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.002198934555053711,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.002184152603149414,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0021746158599853516,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0021698474884033203,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.002192258834838867,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0021820068359375,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0021696090698242188,10.146264369941973,47,"(11, 3, 7)","(2, 2, 9)",7
empty,astar,0.0016999244689941406,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0016934871673583984,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0017123222351074219,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0019505023956298828,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0016932487487792969,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.001722574234008789,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0017001628875732422,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0016942024230957031,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0017066001892089844,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0017037391662597656,7.878315177510849,34,"(8, 6, 7)","(5, 4, 1)",8
empty,astar,0.0021686553955078125,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.002132415771484375,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0022089481353759766,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0021886825561523438,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0021507740020751953,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.002427816390991211,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0021839141845703125,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.002179861068725586,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0021653175354003906,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.0021338462829589844,10.438793109825918,40,"(15, 10, 6)","(9, 3, 3)",9
empty,astar,0.004187822341918945,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004096508026123047,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004145383834838867,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004132270812988281,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004252195358276367,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004152774810791016,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004181385040283203,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004420042037963867,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004231691360473633,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.004129171371459961,12.438793109825918,94,"(19, 1, 7)","(16, 10, 1)",10
empty,astar,0.00024437904357910156,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.00023746490478515625,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0002410411834716797,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0002574920654296875,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.00024700164794921875,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.00024175643920898438,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.00024700164794921875,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0002570152282714844,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0002429485321044922,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0002541542053222656,4.0,5,"(15, 9, 8)","(15, 9, 4)",11
empty,astar,0.0005233287811279297,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005252361297607422,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005166530609130859,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005102157592773438,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.000522613525390625,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005271434783935547,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005192756652832031,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005252361297607422,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0006504058837890625,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.0005311965942382812,5.464101615137754,12,"(16, 5, 9)","(12, 3, 7)",12
empty,astar,0.00034046173095703125,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003566741943359375,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0004756450653076172,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003402233123779297,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003345012664794922,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003323554992675781,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0004684925079345703,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003466606140136719,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003604888916015625,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0003504753112792969,6.414213562373095,7,"(9, 5, 3)","(8, 11, 3)",13
empty,astar,0.0006906986236572266,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005712509155273438,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005433559417724609,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005617141723632812,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0006773471832275391,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005333423614501953,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005519390106201172,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005509853363037109,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0006809234619140625,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0005664825439453125,7.928203230275509,12,"(4, 10, 9)","(8, 5, 5)",14
empty,astar,0.0003476142883300781,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003535747528076172,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0004849433898925781,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.00035381317138671875,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003516674041748047,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003380775451660156,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.00048661231994628906,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003440380096435547,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003387928009033203,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0003407001495361328,7.70674230225704,8,"(7, 1, 9)","(2, 3, 4)",15
empty,astar,0.0006556510925292969,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005221366882324219,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005230903625488281,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005404949188232422,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0006589889526367188,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005164146423339844,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
